keyword,genre,video_id,title,channel,published_at,view_count,like_count,comment_count,url,like_rate,comment_rate
눈물의 여왕,로맨스,TMQCqU2tZa8,🔥최고 시청률 28.4%!!🔥재산 1조 재벌 3세 '김지원'과 과수원집 아들 '김수현'의 일생일대의 사랑!! 결말까지 몰아보기,무비N,2025-07-29T10:00:46Z,1096231,8825,275,https://www.youtube.com/watch?v=TMQCqU2tZa8,0.8050310564105558,0.025085953599195788
눈물의 여왕,로맨스,4KqZ55jnqSc,[#눈물의여왕] 1살 오빠 김수현 앞에서만 말랑해지는 앙큼폭스 연하 김지원 ㅋㅋ 보면 볼수록 연상연하 티나는 백홍부부 맛도리 모먼트🤭,샾잉 #ing,2024-04-03T11:01:00Z,1193928,8774,218,https://www.youtube.com/watch?v=4KqZ55jnqSc,0.7348851857063408,0.018259057497604547
킹더랜드,로맨스,vkz0m_W1UuY,이걸 아직도 안봤어!? 시청률만 무려 13.8%!! 윤아X이준호 주연 개꿀잼 드라마 결말까지 핵심만 몰아보기!!,유튜브드라마 : YOUTUBE DRAMA,2024-08-18T06:02:15Z,2491254,13616,378,https://www.youtube.com/watch?v=vkz0m_W1UuY,0.5465520577187232,0.015173081508348807
킹더랜드,로맨스,2BHnmGaoY64,공개되자마자 넷플릭스 글로벌 1위를 차지한 이준호X임윤아 주연의 명작 한국 드라마 몰아보기,리뷰 한사발,2026-05-03T01:00:05Z,345708,1549,45,https://www.youtube.com/watch?v=2BHnmGaoY64,0.44806599789417656,0.01301676559408518
킹더랜드,로맨스,MauaR1JoHAQ,(1시간) ＂무개념이 뭔지 잘 봤습니다?＂ 직원들 괴롭히는 갑질 상사 혼쭐내주는 본부장 구원🔥｜이준호 명대사｜킹더랜드｜JTBC 230806 방송 외,DRAMA Voyage,2026-04-16T03:16:33Z,468305,2378,71,https://www.youtube.com/watch?v=MauaR1JoHAQ,0.5077887274319087,0.01516105956588121
킹더랜드,로맨스,h3glVQbTmks,"입사 첫날부터 개꼰대 부장이 신입 인턴한테 갑질+꼰질 역대급으로 시전했는데, 알고 보니 정체를 숨긴 이 회사 CEO 아들이었다 ㅠ 잘 가.. ㅠㅠ ≪킹더랜드≫ 1-2",지무비 : G Movie,2023-06-21T08:00:19Z,6126142,34989,1741,https://www.youtube.com/watch?v=h3glVQbTmks,0.5711424906572522,0.02841919106674315
킹더랜드,로맨스,0pE0C6MH9-g,직원 괴롭히는 갑질 상사들 🔥팩폭 참교육하는🔥 재벌 3세 본부장ㅋ｜이준호 명대사｜킹더랜드｜JTBC 230805 방송 외,DRAMA Voyage,2025-07-15T02:45:25Z,593342,2796,67,https://www.youtube.com/watch?v=0pE0C6MH9-g,0.4712290719349043,0.011291969892574602
킹더랜드,로맨스,9gR54WmSfio,[#킹더랜드] 이준호 X 임윤아 서사 몰아보기,또 Voyage,2025-04-06T11:01:14Z,106089,781,10,https://www.youtube.com/watch?v=9gR54WmSfio,0.7361743441827144,0.009426047940879827
킹더랜드,로맨스,CY1oAeoa16Y,"""회장님 아들이라고👀💥?!"" 내 절친의 남자친구가 ✨우리 회사 후계자✨이면 생기는 상황ㄷㄷ | 킹더랜드 임윤아X고원희X김가은 시점 리뷰",DRAMA Voyage,2025-07-11T09:00:30Z,1210478,5159,88,https://www.youtube.com/watch?v=CY1oAeoa16Y,0.4261952716199716,0.007269855379445145
킹더랜드,로맨스,jIJ3jmfcA0Q,[드라마픽] 이준호X임윤아 통합본📁 국밥도 처음 먹어봄⁉ 초호화 음식만 먹던 재벌 3세 준호가 윤아와 연애하면 생기는 일💗｜킹더랜드 | JTBC 230806 방송,DRAMA Voyage,2024-03-29T08:31:41Z,442556,2396,44,https://www.youtube.com/watch?v=jIJ3jmfcA0Q,0.5414004103435497,0.009942244597293903
