video_id,title,published_at,duration,duration_sec,view_count,like_count,comment_count,like_rate,comment_rate,corner,is_middleform,collected_at
1laXEF-OcZU,SNL 코리아 시즌4 | 장기하 편 하이라이트 | 경제학개론 | 쿠팡플레이 | 쿠팡,2023-09-03T10:00:02Z,PT3M59S,239,1040386,3890,158,0.3739,0.0152,기타SNL,False,2026-05-19T03:49:38.063586+00:00
F2PE1OLtDuA,SNL 코리아 시즌 4 | 장기하 편 | 9월 2일(토) 저녁 8시 | 쿠팡플레이 | 쿠팡,2023-09-02T03:38:12Z,PT1M3S,63,19388,169,24,0.8717,0.1238,기타SNL,False,2026-05-19T03:49:38.063602+00:00
wpCL4SgkMQ8,SNL 코리아 시즌4 | 하이라이트 | 맑눈광이 간다 | 윤상현 국민의힘 의원 | 쿠팡플레이 | 쿠팡,2023-08-27T10:00:43Z,PT4M,240,141676,874,321,0.6169,0.2266,기타SNL,False,2026-05-19T03:49:38.063618+00:00
q5OQ7_GM2JQ,SNL 코리아 시즌4 | 진서연 편 하이라이트 | MZ오피스 | 쿠팡플레이 | 쿠팡,2023-08-27T10:00:39Z,PT4M14S,254,5600075,28926,1378,0.5165,0.0246,기타SNL,False,2026-05-19T03:49:38.063633+00:00
qZfYKOJyu_Q,SNL 코리아 시즌4 | 진서연 편 하이라이트 | 무빙 | 쿠팡플레이 | 쿠팡,2023-08-27T10:00:28Z,PT4M11S,251,1389248,6953,330,0.5005,0.0238,기타SNL,False,2026-05-19T03:49:38.063648+00:00
SZR2_XXNKnc,SNL 코리아 시즌4 | 성시경 편 | 흑심 냉장고 | 쿠팡플레이 코미디 쇼 | 쿠팡 #shorts,2023-08-23T09:30:11Z,PT56S,56,2344911,14413,214,0.6147,0.0091,기타SNL,False,2026-05-19T03:49:38.063662+00:00
dbgqgu8Ab9c,SNL 코리아 시즌4 | 성시경 편 | 스마트홈 | 쿠팡플레이 코미디 쇼 | 쿠팡 #shorts,2023-08-23T09:30:11Z,PT44S,44,120829,1326,34,1.0974,0.0281,기타SNL,False,2026-05-19T03:49:38.063677+00:00
LVhoQT96Lbw,SNL 코리아 시즌4 | 성시경 편 | 모창가수 유랑단 | 쿠팡플레이 코미디 쇼 | 쿠팡 #shorts,2023-08-23T09:30:08Z,PT59S,59,980688,12004,388,1.224,0.0396,기타SNL,False,2026-05-19T03:49:38.063692+00:00
1B6xzh0fZ7c,SNL 코리아 시즌4 | 성시경 편 | 위켄드 업데이트 | 쿠팡플레이 코미디 쇼 | 쿠팡 #shorts,2023-08-23T09:30:00Z,PT51S,51,636383,8349,1343,1.3119,0.211,위켄드 업데이트,False,2026-05-19T03:49:38.063704+00:00
LArqsajY4Dk,SNL 코리아 시즌4 | 성시경 편 하이라이트 | 쳐볼텐데 | 쿠팡플레이 | 쿠팡,2023-08-20T10:00:22Z,PT4M31S,271,1047515,6781,422,0.6473,0.0403,기타SNL,False,2026-05-19T03:49:38.063719+00:00
TC_nWqn1maA,SNL 코리아 시즌4 | 하이라이트 | 맑눈광이 간다 | 김의겸 더불어민주당 의원 | 쿠팡플레이 | 쿠팡,2023-08-20T10:00:17Z,PT4M6S,246,223342,2119,1160,0.9488,0.5194,기타SNL,False,2026-05-19T03:49:38.063734+00:00
